,slides,speakers,title,recording,date,cohort,tag,subtag
0,https://docs.google.com/presentation/d/16M5R6YhvAeK0-old_hV9RjrshdA0sdJPgZBRO_MyRLA/edit?usp=sharing,['emmyft'],Welcome to OLS!,https://youtu.be/AMliNkrJIaQ?t=1110,"March 07, 2023",ols-7,Open Life Science,OLS Introduction
1,https://docs.google.com/presentation/d/1B-TiVAHx6OVririv88-H59_BlPwniS5xDnhZtoDU280/edit#slide=id.g6e457e6ac5_0_69,['yochannah'],Welcome to OLS!,https://youtu.be/XulHUHQru2I?t=1113,"March 15, 2023",ols-7,Open Life Science,OLS Introduction
2,https://docs.google.com/presentation/d/1B-TiVAHx6OVririv88-H59_BlPwniS5xDnhZtoDU280/edit#slide=id.g6e457e6ac5_0_69,['emmyft'],Welcome to OLS!,https://youtu.be/O3yk0yrOHGM?t=1234,"March 07, 2022",ols-5,Open Life Science,OLS Introduction
3,https://docs.google.com/presentation/d/1B-TiVAHx6OVririv88-H59_BlPwniS5xDnhZtoDU280/edit#slide=id.g6e457e6ac5_0_69,['yochannah'],Welcome to OLS!,https://youtu.be/CnTWxXVM0Qw?t=726,"March 16, 2022",ols-5,Open Life Science,OLS Introduction
4,https://docs.google.com/presentation/d/1w_WWb7Mj7NgX4pLBejB4Vc_ofK7ZHOUYOT1MCeKVi20/present?token=AC4w5VjvHWSZBrOwwb1EcSm8v45lUi3nqQ%3A1599724146314&includes_info_params=1&eisi=CLPd6-uM3usCFdIWswUdsiINRA#slide=id.g6e457e6ac5_0_69,['bebatut'],Welcome to OLS!,,"September 10, 2020",ols-2,Open Life Science,OLS Introduction
5,https://docs.google.com/presentation/d/1huJSmgaQMqB3go3XUcw_H61p6my0gkZE/edit#slide=id.p2,['yochannah'],Welcome to OLS!,https://youtu.be/bAS74USoPxk?t=878,"September 27, 2022",ols-6,Open Life Science,OLS Introduction
6,https://docs.google.com/presentation/d/1huJSmgaQMqB3go3XUcw_H61p6my0gkZE/edit#slide=id.p2,['yochannah'],Welcome to OLS!,https://youtu.be/Q1ae8ip4o54?t=1792,"October 05, 2022",ols-6,Open Life Science,OLS Introduction
7,https://docs.google.com/presentation/d/e/2PACX-1vT_e2ngwmyjwApVc1CC-dUpSHSArCPsZQjw4oo-0USZFn1lw4OtwPB6LsTSAStocYGIScfgrq5Esea7/pub?start=false&loop=false&delayms=3000,['malvikasharan'],Welcome to OLS!,https://youtu.be/lFaMk01Z_gY?t=1595,"February 17, 2021",ols-3,Open Life Science,OLS Introduction
8,https://docs.google.com/presentation/d/1B-TiVAHx6OVririv88-H59_BlPwniS5xDnhZtoDU280/edit#slide=id.g6e457e6ac5_0_69,['yochannah'],Welcome to OLS!,,"September 22, 2021",ols-4,Open Life Science,OLS Introduction
9,https://docs.google.com/presentation/d/1B-TiVAHx6OVririv88-H59_BlPwniS5xDnhZtoDU280/edit#slide=id.g6e457e6ac5_0_69,['malvikasharan'],Welcome to OLS!,,"September 29, 2021",ols-4,Open Life Science,OLS Introduction
